instant,dteday,mnth,casual,registered
412,2/16/2012,2,74,2931
413,2/17/2012,2,349,3805
414,2/18/2012,2,1435,2883
415,2/19/2012,2,618,2071
416,2/20/2012,2,502,2627
417,2/21/2012,2,163,3614
418,2/22/2012,2,394,4379
419,2/23/2012,2,516,4546
420,2/24/2012,2,246,3241
421,2/25/2012,2,317,2415
422,2/26/2012,2,515,2874
423,2/27/2012,2,253,4069
424,2/28/2012,2,229,4134
425,2/29/2012,2,65,1769
426,3/1/2012,3,325,4665
427,3/2/2012,3,246,2948
428,3/3/2012,3,956,3110
429,3/4/2012,3,710,2713
430,3/5/2012,3,203,3130
431,3/6/2012,3,221,3735
432,3/7/2012,3,432,4484
433,3/8/2012,3,486,4896
434,3/9/2012,3,447,4122
435,3/10/2012,3,968,3150
436,3/11/2012,3,1658,3253
437,3/12/2012,3,838,4460
438,3/13/2012,3,762,5085
439,3/14/2012,3,997,5315
440,3/15/2012,3,1005,5187
441,3/16/2012,3,548,3830
442,3/17/2012,3,3155,4681
443,3/18/2012,3,2207,3685
444,3/19/2012,3,982,5171
445,3/20/2012,3,1051,5042
446,3/21/2012,3,1122,5108
447,3/22/2012,3,1334,5537
448,3/23/2012,3,2469,5893
449,3/24/2012,3,1033,2339
450,3/25/2012,3,1532,3464
451,3/26/2012,3,795,4763
452,3/27/2012,3,531,4571
453,3/28/2012,3,674,5024
454,3/29/2012,3,834,5299
455,3/30/2012,3,796,4663
456,3/31/2012,3,2301,3934
457,4/1/2012,4,2347,3694
458,4/2/2012,4,1208,4728
459,4/3/2012,4,1348,5424
460,4/4/2012,4,1058,5378
461,4/5/2012,4,1192,5265
462,4/6/2012,4,1807,4653
463,4/7/2012,4,3252,3605
464,4/8/2012,4,2230,2939
465,4/9/2012,4,905,4680
466,4/10/2012,4,819,5099
467,4/11/2012,4,482,4380
468,4/12/2012,4,663,4746
469,4/13/2012,4,1252,5146
470,4/14/2012,4,2795,4665
471,4/15/2012,4,2846,4286
472,4/16/2012,4,1198,5172
473,4/17/2012,4,989,5702
474,4/18/2012,4,347,4020
475,4/19/2012,4,846,5719
476,4/20/2012,4,1340,5950
477,4/21/2012,4,2541,4083
478,4/22/2012,4,120,907
479,4/23/2012,4,195,3019
480,4/24/2012,4,518,5115
481,4/25/2012,4,655,5541
482,4/26/2012,4,475,4551
483,4/27/2012,4,1014,5219
484,4/28/2012,4,1120,3100
485,4/29/2012,4,2229,4075
486,4/30/2012,4,665,4907
487,5/1/2012,5,653,5087
488,5/2/2012,5,667,5502
489,5/3/2012,5,764,5657
490,5/4/2012,5,1069,5227
491,5/5/2012,5,2496,4387
492,5/6/2012,5,2135,4224
493,5/7/2012,5,1008,5265
494,5/8/2012,5,738,4990
495,5/9/2012,5,620,4097
496,5/10/2012,5,1026,5546
497,5/11/2012,5,1319,5711
498,5/12/2012,5,2622,4807
499,5/13/2012,5,2172,3946
500,5/14/2012,5,342,2501
501,5/15/2012,5,625,4490
502,5/16/2012,5,991,6433
503,5/17/2012,5,1242,6142
504,5/18/2012,5,1521,6118
505,5/19/2012,5,3410,4884
506,5/20/2012,5,2704,4425
507,5/21/2012,5,630,3729
508,5/22/2012,5,819,5254
509,5/23/2012,5,766,4494
510,5/24/2012,5,1059,5711
511,5/25/2012,5,1417,5317
512,5/26/2012,5,2855,3681
513,5/27/2012,5,3283,3308
514,5/28/2012,5,2557,3486
515,5/29/2012,5,880,4863
516,5/30/2012,5,745,6110
517,5/31/2012,5,1100,6238
518,6/1/2012,6,533,3594
519,6/2/2012,6,2795,5325
520,6/3/2012,6,2494,5147
521,6/4/2012,6,1071,5927
522,6/5/2012,6,968,6033
523,6/6/2012,6,1027,6028
524,6/7/2012,6,1038,6456
525,6/8/2012,6,1488,6248
526,6/9/2012,6,2708,4790
527,6/10/2012,6,2224,4374
528,6/11/2012,6,1017,5647
529,6/12/2012,6,477,4495
530,6/13/2012,6,1173,6248
531,6/14/2012,6,1180,6183
532,6/15/2012,6,1563,6102
533,6/16/2012,6,2963,4739
534,6/17/2012,6,2634,4344
535,6/18/2012,6,653,4446
536,6/19/2012,6,968,5857
537,6/20/2012,6,872,5339
538,6/21/2012,6,778,5127
539,6/22/2012,6,964,4859
540,6/23/2012,6,2657,4801
541,6/24/2012,6,2551,4340
542,6/25/2012,6,1139,5640
543,6/26/2012,6,1077,6365
544,6/27/2012,6,1077,6258
545,6/28/2012,6,921,5958
546,6/29/2012,6,829,4634
547,6/30/2012,6,1455,4232
548,7/1/2012,7,1421,4110
549,7/2/2012,7,904,5323
550,7/3/2012,7,1052,5608
551,7/4/2012,7,2562,4841
552,7/5/2012,7,1405,4836
553,7/6/2012,7,1366,4841
554,7/7/2012,7,1448,3392
555,7/8/2012,7,1203,3469
556,7/9/2012,7,998,5571
557,7/10/2012,7,954,5336
558,7/11/2012,7,975,6289
559,7/12/2012,7,1032,6414
560,7/13/2012,7,1511,5988
561,7/14/2012,7,2355,4614
562,7/15/2012,7,1920,4111
563,7/16/2012,7,1088,5742
564,7/17/2012,7,921,5865
565,7/18/2012,7,799,4914
566,7/19/2012,7,888,5703
567,7/20/2012,7,747,5123
568,7/21/2012,7,1264,3195
569,7/22/2012,7,2544,4866
570,7/23/2012,7,1135,5831
571,7/24/2012,7,1140,6452
572,7/25/2012,7,1383,6790
573,7/26/2012,7,1036,5825
574,7/27/2012,7,1259,5645
575,7/28/2012,7,2234,4451
576,7/29/2012,7,2153,4444
577,7/30/2012,7,1040,6065
578,7/31/2012,7,968,6248
579,8/1/2012,8,1074,6506
580,8/2/2012,8,983,6278
581,8/3/2012,8,1328,5847
582,8/4/2012,8,2345,4479
583,8/5/2012,8,1707,3757
584,8/6/2012,8,1233,5780
585,8/7/2012,8,1278,5995
586,8/8/2012,8,1263,6271
587,8/9/2012,8,1196,6090
588,8/10/2012,8,1065,4721
589,8/11/2012,8,2247,4052
590,8/12/2012,8,2182,4362
591,8/13/2012,8,1207,5676
592,8/14/2012,8,1128,5656
593,8/15/2012,8,1198,6149
594,8/16/2012,8,1338,6267
595,8/17/2012,8,1483,5665
596,8/18/2012,8,2827,5038
597,8/19/2012,8,1208,3341
598,8/20/2012,8,1026,5504
599,8/21/2012,8,1081,5925
600,8/22/2012,8,1094,6281
601,8/23/2012,8,1363,6402
602,8/24/2012,8,1325,6257
603,8/25/2012,8,1829,4224
604,8/26/2012,8,1483,3772
605,8/27/2012,8,989,5928
606,8/28/2012,8,935,6105
607,8/29/2012,8,1177,6520
608,8/30/2012,8,1172,6541
609,8/31/2012,8,1433,5917
610,9/1/2012,9,2352,3788
611,9/2/2012,9,2613,3197
612,9/3/2012,9,1965,4069
613,9/4/2012,9,867,5997
614,9/5/2012,9,832,6280
615,9/6/2012,9,611,5592
616,9/7/2012,9,1045,6459
617,9/8/2012,9,1557,4419
618,9/9/2012,9,2570,5657
619,9/10/2012,9,1118,6407
620,9/11/2012,9,1070,6697
621,9/12/2012,9,1050,6820
622,9/13/2012,9,1054,6750
623,9/14/2012,9,1379,6630
624,9/15/2012,9,3160,5554
625,9/16/2012,9,2166,5167
626,9/17/2012,9,1022,5847
627,9/18/2012,9,371,3702
628,9/19/2012,9,788,6803
629,9/20/2012,9,939,6781
630,9/21/2012,9,1250,6917
631,9/22/2012,9,2512,5883
632,9/23/2012,9,2454,5453
633,9/24/2012,9,1001,6435
634,9/25/2012,9,845,6693
635,9/26/2012,9,787,6946
636,9/27/2012,9,751,6642
637,9/28/2012,9,1045,6370
638,9/29/2012,9,2589,5966
639,9/30/2012,9,2015,4874
640,10/1/2012,10,763,6015
641,10/2/2012,10,315,4324
642,10/3/2012,10,728,6844
643,10/4/2012,10,891,6437
644,10/5/2012,10,1516,6640
645,10/6/2012,10,3031,4934
646,10/7/2012,10,781,2729
647,10/8/2012,10,874,4604
648,10/9/2012,10,601,5791
649,10/10/2012,10,780,6911
650,10/11/2012,10,834,6736
651,10/12/2012,10,1060,6222
652,10/13/2012,10,2252,4857
653,10/14/2012,10,2080,4559
654,10/15/2012,10,760,5115
655,10/16/2012,10,922,6612
656,10/17/2012,10,979,6482
657,10/18/2012,10,1008,6501
658,10/19/2012,10,753,4671
659,10/20/2012,10,2806,5284
660,10/21/2012,10,2132,4692
661,10/22/2012,10,830,6228
662,10/23/2012,10,841,6625
663,10/24/2012,10,795,6898
664,10/25/2012,10,875,6484
665,10/26/2012,10,1182,6262
666,10/27/2012,10,2643,5209
667,10/28/2012,10,998,3461
668,10/29/2012,10,2,20
669,10/30/2012,10,87,1009
670,10/31/2012,10,419,5147
671,11/1/2012,11,466,5520
672,11/2/2012,11,618,5229
673,11/3/2012,11,1029,4109
674,11/4/2012,11,1201,3906
675,11/5/2012,11,378,4881
676,11/6/2012,11,466,5220
677,11/7/2012,11,326,4709
678,11/8/2012,11,340,4975
679,11/9/2012,11,709,5283
680,11/10/2012,11,2090,4446
681,11/11/2012,11,2290,4562
682,11/12/2012,11,1097,5172
683,11/13/2012,11,327,3767
684,11/14/2012,11,373,5122
685,11/15/2012,11,320,5125
686,11/16/2012,11,484,5214
687,11/17/2012,11,1313,4316
688,11/18/2012,11,922,3747
689,11/19/2012,11,449,5050
690,11/20/2012,11,534,5100
691,11/21/2012,11,615,4531
692,11/22/2012,11,955,1470
693,11/23/2012,11,1603,2307
694,11/24/2012,11,532,1745
695,11/25/2012,11,309,2115
696,11/26/2012,11,337,4750
697,11/27/2012,11,123,3836
698,11/28/2012,11,198,5062
699,11/29/2012,11,243,5080
700,11/30/2012,11,362,5306
701,12/1/2012,12,951,4240
702,12/2/2012,12,892,3757
703,12/3/2012,12,555,5679
704,12/4/2012,12,551,6055
705,12/5/2012,12,331,5398
706,12/6/2012,12,340,5035
707,12/7/2012,12,349,4659
708,12/8/2012,12,1153,4429
709,12/9/2012,12,441,2787
710,12/10/2012,12,329,4841
711,12/11/2012,12,282,5219
712,12/12/2012,12,310,5009
713,12/13/2012,12,425,5107
714,12/14/2012,12,429,5182
715,12/15/2012,12,767,4280
716,12/16/2012,12,538,3248
717,12/17/2012,12,212,4373
718,12/18/2012,12,433,5124
719,12/19/2012,12,333,4934
720,12/20/2012,12,314,3814
721,12/21/2012,12,221,3402
722,12/22/2012,12,205,1544
723,12/23/2012,12,408,1379
724,12/24/2012,12,174,746
725,12/25/2012,12,440,573
726,12/26/2012,12,9,432
727,12/27/2012,12,247,1867
728,12/28/2012,12,644,2451
729,12/29/2012,12,159,1182
730,12/30/2012,12,364,1432
731,12/31/2012,12,439,2290
