instant,dteday,mnth,casual,registered,cnt
341,2011-12-07,12,50,655,705
342,2011-12-08,12,150,3172,3322
343,2011-12-09,12,261,3359,3620
344,2011-12-10,12,502,2688,3190
345,2011-12-11,12,377,2366,2743
346,2011-12-12,12,143,3167,3310
347,2011-12-13,12,155,3368,3523
348,2011-12-14,12,178,3562,3740
349,2011-12-15,12,181,3528,3709
350,2011-12-16,12,178,3399,3577
351,2011-12-17,12,275,2464,2739
352,2011-12-18,12,220,2211,2431
353,2011-12-19,12,260,3143,3403
354,2011-12-20,12,216,3534,3750
355,2011-12-21,12,107,2553,2660
356,2011-12-22,12,227,2841,3068
357,2011-12-23,12,163,2046,2209
358,2011-12-24,12,155,856,1011
359,2011-12-25,12,303,451,754
360,2011-12-26,12,430,887,1317
361,2011-12-27,12,103,1059,1162
362,2011-12-28,12,255,2047,2302
363,2011-12-29,12,254,2169,2423
364,2011-12-30,12,491,2508,2999
365,2011-12-31,12,665,1820,2485
